variable,description,type,cleaning_note
participant_id,Unique fictional participant identifier,Text/categorical,Cleaned to uppercase and stripped of extra spaces
age,Age in years,Continuous numeric,Implausible values outside 0-120 replaced with missing
sex,Sex recorded in the sample data,Categorical,Standardised to Male/Female; unclear values set to missing
bmi,Body mass index in kg/m^2,Continuous numeric,Implausible values outside 10-80 replaced with missing
systolic_bp,Systolic blood pressure in mmHg,Continuous numeric,Implausible values outside 70-250 replaced with missing
diastolic_bp,Diastolic blood pressure in mmHg,Continuous numeric,Implausible values outside 40-150 replaced with missing
hba1c_mmol_mol,HbA1c in mmol/mol,Continuous numeric,Parsed into numeric; very extreme values would be set to missing
smoking_status,Smoking status,Categorical,Standardised to Never/Former/Current
exercise_minutes_per_week,Self-reported exercise minutes per week,Continuous numeric,Negative or extreme values replaced with missing
diabetes_status,Recorded diabetes status,Binary categorical,Standardised to Yes/No; unclear values set to missing
study_group,Fictional study group,Categorical,Standardised to Control/Intervention
recruitment_site,Fictional recruitment site,Categorical,Standardised site names
notes,Free-text notes,Text,Kept as text; not used for analysis in this article
